Class,Precision
Corner,0.11641614777701241
Free-Kick,0.11890454959809518
Other-images,0.9931327700614929
Other-soccer-events,0.11882698772311548
Penalty,0.11948069731394449
Red-Cards,0.9803433051476111
To-Subtitute,0.11870507588462224
Yellow-Cards,0.97956269127982
