Class,Precision
Corner,0.11624889624746222
Free-Kick,0.12006160191127233
Other-images,0.9931327700614929
Other-soccer-events,0.11932209431139658
Penalty,0.11762108653783798
Red-Cards,0.9598790577479771
Tackle,0.12331327050924301
To-Subtitute,0.11964874267578125
Yellow-Cards,0.9990906826285428
